VD,North,East
1230313,6589800,657120
1230413,6589440,661692
1230414,6591510,658095
1230415,6590170,660408
1230416,6590550,660164
1230417,6592160,659762
1230418,6590050,661667
1230419,6589740,661068
1230420,6590210,660930
1230421,6590100,661282
1230422,6590630,660887
1230423,6590640,661324
1230424,6591120,660886
1230425,6591050,661349
1230426,6591710,660898
1230427,6592350,661920
1230528,6593620,659940
1230529,6594430,658899
1230530,6594250,659274
1230531,6594520,659792
1230532,6594850,660518
1230533,6597670,659253
1230534,6593510,658414
1250101,6587030,645875
1250201,6582970,642114
1250301,6574540,661585
1250302,6574710,659211
1250303,6573970,659892
1250304,6573210,659256
1250305,6575860,658886
1250306,6575310,657775
1250307,6576980,651940
